,Identified_Event_Name,Best_Hit,Original_Source,is_best_hit_unique,Event_ID,Top_10_Wikipedia_Pages
11,Cyclone Gonu (2007),https://en.wikipedia.org/wiki/Cyclone_Gonu,https://en.wikipedia.org/wiki/Tropical_cyclone_basins,True,2191,"['https://en.wikipedia.org/wiki/Cyclone_Gonu', 'https://en.wikipedia.org/wiki/North_Indian_Ocean_tropical_cyclone', 'https://en.wikipedia.org/wiki/Cyclone_Amphan', 'https://en.wikipedia.org/wiki/Cyclone_Kyarr', 'https://en.wikipedia.org/wiki/Cyclone_Nargis', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_2007', 'https://en.wikipedia.org/wiki/2007_North_Indian_Ocean_cyclone_season']"
12,Eastern Australia Flood (2022),https://en.wikipedia.org/wiki/2022_eastern_Australia_floods,https://en.wikipedia.org/wiki/2022_eastern_Australia_floods,False,27,"['https://en.wikipedia.org/wiki/2022_eastern_Australia_floods', 'https://en.wikipedia.org/wiki/Floods_in_Australia', 'https://en.wikipedia.org/wiki/2022_south_eastern_Australia_floods', 'https://en.wikipedia.org/wiki/2021_eastern_Australia_floods', 'https://en.wikipedia.org/wiki/Queensland_floods', 'https://en.wikipedia.org/wiki/2022_New_South_Wales_floods', 'https://en.wikipedia.org/wiki/Urban_flooding', 'https://en.wikipedia.org/wiki/Climate_of_Australia']"
13,Cyclone Bruno (1982),https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season,https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season,False,2190,"['https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/%22Superstar%22_Billy_Graham', 'https://en.wikipedia.org/wiki/Corey_Burton', 'https://en.wikipedia.org/wiki/Sixth_Street_Viaduct', 'https://en.wikipedia.org/wiki/Jimmy_Johnson_(American_football_coach)']"
15,Black Hills Flood (1972),https://en.wikipedia.org/wiki/1972_Black_Hills_flood,https://en.wikipedia.org/wiki/1972_Black_Hills_flood,False,28,"['https://en.wikipedia.org/wiki/1972_Black_Hills_flood', 'https://en.wikipedia.org/wiki/Rapid_Creek_(South_Dakota)', 'https://en.wikipedia.org/wiki/Floods_in_the_United_States_(1900%E2%80%931999)', 'https://en.wikipedia.org/wiki/Rapid_City,_South_Dakota', 'https://en.wikipedia.org/wiki/Johnstown_Flood', 'https://en.wikipedia.org/wiki/Pactola_Dam', 'https://en.wikipedia.org/wiki/Storybook_Island', 'https://en.wikipedia.org/wiki/Keystone,_South_Dakota', 'https://en.wikipedia.org/wiki/Great_Sioux_War_of_1876']"
16,Cyclone Vance (1999),https://en.wikipedia.org/wiki/Cyclone_Vance,https://en.wikipedia.org/wiki/Tropical_cyclone_basins,True,2191,"['https://en.wikipedia.org/wiki/Cyclone_Vance', 'https://en.wikipedia.org/wiki/Vance', 'https://en.wikipedia.org/wiki/1998%E2%80%9399_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_1999', 'https://en.wikipedia.org/wiki/Cyclone_Gwenda', 'https://en.wikipedia.org/wiki/Cyclone_Elaine', 'https://en.wikipedia.org/wiki/Tropical_cyclone_wind_speed_climatology', 'https://en.wikipedia.org/wiki/Tropical_cyclone_basins']"
17,Cyclone Fay (2004),https://en.wikipedia.org/wiki/Cyclone_Fay,https://en.wikipedia.org/wiki/2003%E2%80%9304_Australian_region_cyclone_season,True,2193,"['https://en.wikipedia.org/wiki/Cyclone_Fay', 'https://en.wikipedia.org/wiki/Tropical_Storm_Fay_(2008)', 'https://en.wikipedia.org/wiki/2003%E2%80%9304_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_2004', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/Cyclone_Veronica', 'https://en.wikipedia.org/wiki/Cyclone_Mahina']"
18,Cyclone Monty (2004),https://en.wikipedia.org/wiki/Cyclone_Monty,https://en.wikipedia.org/wiki/2003%E2%80%9304_Australian_region_cyclone_season,True,2193,"['https://en.wikipedia.org/wiki/Cyclone_Monty', 'https://en.wikipedia.org/wiki/2003%E2%80%9304_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_2004', 'https://en.wikipedia.org/wiki/Monty_(disambiguation)', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/North_West_Coastal_Highway', 'https://en.wikipedia.org/wiki/Cyclone_Fay', 'https://en.wikipedia.org/wiki/Monty_Alexander']"
19,Iowa Flood (2008),https://en.wikipedia.org/wiki/Iowa_flood_of_2008,https://en.wikipedia.org/wiki/Iowa_flood_of_2008,True,29,"['https://en.wikipedia.org/wiki/Iowa_flood_of_2008', 'https://en.wikipedia.org/wiki/June_2008_Midwest_floods', 'https://en.wikipedia.org/wiki/Great_Flood_of_1993', 'https://en.wikipedia.org/wiki/2008_floods', 'https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa', 'https://en.wikipedia.org/wiki/Personal_Effects_(film)', 'https://en.wikipedia.org/wiki/Duane_Arnold_Energy_Center', 'https://en.wikipedia.org/wiki/Interstate_380_(Iowa)', 'https://en.wikipedia.org/wiki/Floods_in_the_United_States_(2000%E2%80%93present)', 'https://en.wikipedia.org/wiki/Davenport,_Iowa']"
20,Hurricane Catarina (2004),https://en.wikipedia.org/wiki/Hurricane_Catarina,https://en.wikipedia.org/wiki/Tropical_cyclone_basins,True,2191,"['https://en.wikipedia.org/wiki/Hurricane_Catarina', 'https://en.wikipedia.org/wiki/Hurricane_Patricia', 'https://en.wikipedia.org/wiki/Hurricane_Wilma', 'https://en.wikipedia.org/wiki/Typhoon_Tip', 'https://en.wikipedia.org/wiki/Cyclone_Mahina', 'https://en.wikipedia.org/wiki/Tropical_cyclone', 'https://en.wikipedia.org/wiki/South_Atlantic_tropical_cyclone', 'https://en.wikipedia.org/wiki/Weather_of_2004']"
21,Cyclone Grace (2004),https://en.wikipedia.org/wiki/2003%E2%80%9304_Australian_region_cyclone_season,https://en.wikipedia.org/wiki/2003%E2%80%9304_Australian_region_cyclone_season,True,2193,"['https://en.wikipedia.org/wiki/2003%E2%80%9304_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_2004', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/1962%E2%80%9363_South-West_Indian_Ocean_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclone_basins', 'https://en.wikipedia.org/wiki/Tropical_cyclone_naming']"
22,Fort Lauderdale Hurricane (1947),https://en.wikipedia.org/wiki/1947_Fort_Lauderdale_hurricane,https://en.wikipedia.org/wiki/Effects_of_the_1947_Fort_Lauderdale_hurricane_in_Florida,False,3829,"['https://en.wikipedia.org/wiki/1947_Fort_Lauderdale_hurricane', 'https://en.wikipedia.org/wiki/Effects_of_the_1947_Fort_Lauderdale_hurricane_in_Florida', 'https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida', 'https://en.wikipedia.org/wiki/Hurricane_Andrew', 'https://en.wikipedia.org/wiki/History_of_Fort_Lauderdale,_Florida', 'https://en.wikipedia.org/wiki/1947_Florida%E2%80%93Georgia_hurricane']"
23,Morpeth Flood (2008),https://en.wikipedia.org/wiki/2008_Morpeth_flood,https://en.wikipedia.org/wiki/2008_Morpeth_flood,True,32,"['https://en.wikipedia.org/wiki/2008_Morpeth_flood', 'https://en.wikipedia.org/wiki/Morpeth,_Northumberland', 'https://en.wikipedia.org/wiki/Flood', 'https://en.wikipedia.org/wiki/Morpeth_Bridge', 'https://en.wikipedia.org/wiki/Toby_Flood', 'https://en.wikipedia.org/wiki/Morpeth_Chantry_Bagpipe_Museum', 'https://en.wikipedia.org/wiki/Maitland,_New_South_Wales', 'https://en.wikipedia.org/wiki/Bellwin_scheme', 'https://en.wikipedia.org/wiki/A1_road_(Great_Britain)']"
24,Hurricane Roslyn (1986),https://en.wikipedia.org/wiki/Hurricane_Roslyn_(1986),https://en.wikipedia.org/wiki/Hurricane_Newton_(1986),True,3824,"['https://en.wikipedia.org/wiki/Hurricane_Roslyn_(1986)', 'https://en.wikipedia.org/wiki/1986_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/1992_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/1964_Pacific_hurricane_season']"
25,United Kingdom Flood (2007),https://en.wikipedia.org/wiki/2007_United_Kingdom_floods,https://en.wikipedia.org/wiki/2007_United_Kingdom_floods,False,30,"['https://en.wikipedia.org/wiki/2007_United_Kingdom_floods', 'https://en.wikipedia.org/wiki/2019%E2%80%9320_United_Kingdom_floods', 'https://en.wikipedia.org/wiki/2013%E2%80%9314_United_Kingdom_winter_floods', 'https://en.wikipedia.org/wiki/2007_floods', 'https://en.wikipedia.org/wiki/2023_United_Kingdom_floods', 'https://en.wikipedia.org/wiki/2007_in_the_United_Kingdom']"
26,Hurricane Paine (1986),https://en.wikipedia.org/wiki/Hurricane_Paine_(1986),https://en.wikipedia.org/wiki/Hurricane_Newton_(1986),True,3824,"['https://en.wikipedia.org/wiki/Hurricane_Paine_(1986)', 'https://en.wikipedia.org/wiki/1986_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/1992_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Roslyn_(1986)', 'https://en.wikipedia.org/wiki/Tim_Paine', 'https://en.wikipedia.org/wiki/Hurricane_Carla', 'https://en.wikipedia.org/wiki/Hobart_Hurricanes']"
27,Hurricane Estelle (1986),https://en.wikipedia.org/wiki/Hurricane_Estelle_(1986),https://en.wikipedia.org/wiki/Hurricane_Newton_(1986),True,3824,"['https://en.wikipedia.org/wiki/Hurricane_Estelle_(1986)', 'https://en.wikipedia.org/wiki/1986_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/1992_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/1980_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Iselle', 'https://en.wikipedia.org/wiki/Pacific_hurricane', 'https://en.wikipedia.org/wiki/The_Golden_Girls']"
28,Great Flood (1993),https://en.wikipedia.org/wiki/Great_Flood_of_1993,https://en.wikipedia.org/wiki/Iowa_flood_of_2008,False,29,"['https://en.wikipedia.org/wiki/Great_Flood_of_1993', 'https://en.wikipedia.org/wiki/Great_Flood_(disambiguation)', 'https://en.wikipedia.org/wiki/Great_Flood_of_1951', 'https://en.wikipedia.org/wiki/Great_Mississippi_Flood_of_1927', 'https://en.wikipedia.org/wiki/James_Scott_(criminal)', 'https://en.wikipedia.org/wiki/Great_Flood_of_1844', 'https://en.wikipedia.org/wiki/1993_Storm_of_the_Century', 'https://en.wikipedia.org/wiki/100-year_flood', 'https://en.wikipedia.org/wiki/Floods_in_the_United_States_(1900%E2%80%931999)']"
29,Hurricane Newton (1986),https://en.wikipedia.org/wiki/1986_Pacific_hurricane_season,https://en.wikipedia.org/wiki/Hurricane_Newton_(1986),True,3824,"['https://en.wikipedia.org/wiki/1986_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Paine_(1986)', 'https://en.wikipedia.org/wiki/Cam_Newton', 'https://en.wikipedia.org/wiki/1980_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/1992_Pacific_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Barry_(2019)']"
30,Hurricane Bertha (1996),https://en.wikipedia.org/wiki/Hurricane_Bertha_(1996),https://en.wikipedia.org/wiki/Hurricane_Bertha_(1996),True,3830,"['https://en.wikipedia.org/wiki/Hurricane_Bertha_(1996)', 'https://en.wikipedia.org/wiki/Hurricane_Bertha_(2014)', 'https://en.wikipedia.org/wiki/1996_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Fran', 'https://en.wikipedia.org/wiki/Timeline_of_the_1996_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/1990_Atlantic_hurricane_season']"
31,Great Mississippi Flood (1927),https://en.wikipedia.org/wiki/Great_Mississippi_Flood_of_1927,https://en.wikipedia.org/wiki/Hurricane_Newton_(1986),False,3824,"['https://en.wikipedia.org/wiki/Great_Mississippi_Flood_of_1927', 'https://en.wikipedia.org/wiki/Great_Flood_of_1993', 'https://en.wikipedia.org/wiki/Great_Flood_(disambiguation)', 'https://en.wikipedia.org/wiki/Flood_Control_Act_of_1928', 'https://en.wikipedia.org/wiki/Great_Flood_of_1927', 'https://en.wikipedia.org/wiki/2011_Mississippi_River_floods', 'https://en.wikipedia.org/wiki/When_the_Levee_Breaks', 'https://en.wikipedia.org/wiki/Levee_breach', 'https://en.wikipedia.org/wiki/Louisiana_1927']"
32,Cyclone Yasi (2011),https://en.wikipedia.org/wiki/Cyclone_Yasi,https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season,True,2192,"['https://en.wikipedia.org/wiki/Cyclone_Yasi', 'https://en.wikipedia.org/wiki/Dunk_Island', 'https://en.wikipedia.org/wiki/Cyclone_Jasper', 'https://en.wikipedia.org/wiki/1995%E2%80%9396_South_Pacific_cyclone_season', 'https://en.wikipedia.org/wiki/Townsville', 'https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Yasi', 'https://en.wikipedia.org/wiki/Operation_Yasi_Assist']"
33,Cyclone Bianca (2011),https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season,https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season,False,2192,"['https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclone_naming', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_2011', 'https://en.wikipedia.org/wiki/2019_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/2011%E2%80%9312_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Cyclone_Alby', 'https://en.wikipedia.org/wiki/2015_Pacific_hurricane_season']"
34,Cyclone Tasha (2010),https://en.wikipedia.org/wiki/Cyclone_Tasha,https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season,True,2192,"['https://en.wikipedia.org/wiki/Cyclone_Tasha', 'https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_2010', 'https://en.wikipedia.org/wiki/Cyclone_Jasper', 'https://en.wikipedia.org/wiki/Cyclone_Yasi', 'https://en.wikipedia.org/wiki/Australian_region_tropical_cyclone', 'https://en.wikipedia.org/wiki/Cyclone_Tracy', 'https://en.wikipedia.org/wiki/1998%E2%80%9399_Australian_region_cyclone_season']"
35,Gascoyne River Flood (2010),https://en.wikipedia.org/wiki/2010_Gascoyne_River_flood,https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season,True,2192,"['https://en.wikipedia.org/wiki/2010_Gascoyne_River_flood', 'https://en.wikipedia.org/wiki/Gascoyne_River', 'https://en.wikipedia.org/wiki/Gascoyne', 'https://en.wikipedia.org/wiki/Gascoyne_Junction,_Western_Australia', 'https://en.wikipedia.org/wiki/Carnarvon,_Western_Australia', 'https://en.wikipedia.org/wiki/Index_of_weather_extremes_in_Australia_articles', 'https://en.wikipedia.org/wiki/Floods_in_Australia', 'https://en.wikipedia.org/wiki/Landor_Station', 'https://en.wikipedia.org/wiki/Geography_of_Cornwall']"
36,Cyclone Rewa (1993),https://en.wikipedia.org/wiki/Cyclone_Rewa,https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,False,2189,"['https://en.wikipedia.org/wiki/Cyclone_Rewa', 'https://en.wikipedia.org/wiki/1993%E2%80%9394_South_Pacific_cyclone_season', 'https://en.wikipedia.org/wiki/Cyclone_Winston', 'https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Cyclone_Niran', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/Cyclones_Katrina_and_Victor%E2%80%93Cindy']"
37,Louth Flood (1920),https://en.wikipedia.org/wiki/1920_Louth_flood,https://en.wikipedia.org/wiki/1920_Louth_flood,True,33,"['https://en.wikipedia.org/wiki/1920_Louth_flood', 'https://en.wikipedia.org/wiki/1920_Louth_by-election', 'https://en.wikipedia.org/wiki/Louth,_Lincolnshire', 'https://en.wikipedia.org/wiki/Louth_Cemetery', 'https://en.wikipedia.org/wiki/Louth_Museum', 'https://en.wikipedia.org/wiki/Dundalk_Young_Irelands_GFC', 'https://en.wikipedia.org/wiki/Dundalk', 'https://en.wikipedia.org/wiki/David_Robinson_(journalist)', 'https://en.wikipedia.org/wiki/Mablethorpe']"
38,Cyclone Farah (1994),https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,False,2189,"['https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/1993%E2%80%9394_South-West_Indian_Ocean_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_1994', 'https://en.wikipedia.org/wiki/Pakistan', 'https://en.wikipedia.org/wiki/Afghan_mujahideen', 'https://en.wikipedia.org/wiki/Rabbit_Ears_Productions', 'https://en.wikipedia.org/wiki/Asia']"
39,Hurricane Matthew (2016),https://en.wikipedia.org/wiki/Hurricane_Matthew,https://en.wikipedia.org/wiki/Effects_of_Hurricane_Matthew_in_Haiti,True,3831,"['https://en.wikipedia.org/wiki/Hurricane_Matthew', 'https://en.wikipedia.org/wiki/Effects_of_Hurricane_Matthew_in_Florida', 'https://en.wikipedia.org/wiki/Effects_of_Hurricane_Matthew_in_Haiti', 'https://en.wikipedia.org/wiki/2016_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Meteorological_history_of_Hurricane_Matthew', 'https://en.wikipedia.org/wiki/Hurricane_Ivan', 'https://en.wikipedia.org/wiki/Hurricane_Dorian', 'https://en.wikipedia.org/wiki/Hurricane_Irma']"
40,Cyclone Carlos (2011),https://en.wikipedia.org/wiki/Cyclone_Carlos,https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season,True,2192,"['https://en.wikipedia.org/wiki/Cyclone_Carlos', 'https://en.wikipedia.org/wiki/2010%E2%80%9311_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/Tropical_cyclone_naming', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_2011', 'https://en.wikipedia.org/wiki/Hurricane_Patricia', 'https://en.wikipedia.org/wiki/Australian_region_tropical_cyclone']"
41,Cyclone Theodore (1994),https://en.wikipedia.org/wiki/1993%E2%80%9394_South_Pacific_cyclone_season,https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,False,2189,"['https://en.wikipedia.org/wiki/1993%E2%80%9394_South_Pacific_cyclone_season', 'https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_1994', 'https://en.wikipedia.org/wiki/Theodore_Roosevelt', 'https://en.wikipedia.org/wiki/Cyclone_Mahina', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/Cyclone_Marcus']"
42,Cyclone Sharon (1994),https://en.wikipedia.org/wiki/1994_Pacific_typhoon_season,https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,False,2189,"['https://en.wikipedia.org/wiki/1994_Pacific_typhoon_season', 'https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_1994', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/Australian_region_tropical_cyclone', 'https://en.wikipedia.org/wiki/Iowa_State_Cyclones']"
43,Cyclone Naomi (1993),https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,False,2189,"['https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_1993', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/Cyclone_Hyacinthe', 'https://en.wikipedia.org/wiki/Australian_region_tropical_cyclone', 'https://en.wikipedia.org/wiki/Tropical_cyclone_effects_by_region']"
44,Cyclone Sadie (1994),https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season,False,2189,"['https://en.wikipedia.org/wiki/1993%E2%80%9394_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_1994', 'https://en.wikipedia.org/wiki/Cyclone_Nora', 'https://en.wikipedia.org/wiki/1926_Nova_Scotia_hurricane', 'https://en.wikipedia.org/wiki/Neko_Case', 'https://en.wikipedia.org/wiki/Pago_Pago,_American_Samoa']"
