,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
10,Tropical Storm Ampil,https://en.wikipedia.org/wiki/Tropical_Storm_Ampil,"Tropical Storm Ampil occurred from July 17, 2018 to July 26, 2018.","Tropical Storm Ampil affected the Ryukyu Islands, East and Northeast China.",Tropical Storm Ampil affected more than 2.3 million people.,One person was confirmed dead due to Tropical Storm Ampil.,"About 387,000 people were evacuated from coastal areas in Shanghai, Jiangsu, and Zhejiang.",NULL,"The economic losses due to Tropical Storm Ampil were RMB 1.63 billion (US$246,000,000 in 2018).","About 7,200 houses were damaged or destroyed."
11,Hurricane Danielle (2022),https://en.wikipedia.org/wiki/Hurricane_Danielle_(2022),"Hurricane Danielle (2022) occurred from September 1, 2022 to September 15, 2022.",The areas affected by Hurricane Danielle (2022) include the Azores and much of mainland Portugal.,"The overall damage from the storm has not been specified, but many downed trees and flash floods were reported. In Manteigas, floods and landslides caused major damage, and four vehicles were pulled into the Zezere River. Minor wind and flooding damage was reported in Lisbon and Setubal.",NULL,The number of people who became homeless or displaced is not explicitly mentioned in the text.,One man was in serious condition when he was swept away and was under cardiac arrest.,The overall damage from the storm has not been specified in terms of economic loss.,The Grandola Police Station had severe roof damage after Danielle hit.
12,Dome Fire (2020),https://en.wikipedia.org/wiki/Dome_Fire_(2020),"The Dome Fire occurred from August 15 to August 24, 2020.",The Dome Fire affected the Mojave National Preserve in California's San Bernardino County.,NULL,No deaths were reported as a result of the Dome Fire.,NULL,No injuries or fatalities were reported among firefighters or civilians.,The suppression cost of the Dome Fire was US$2.2 million.,The Dome Fire destroyed 6 structures.
13,2016 California wildfires,https://en.wikipedia.org/wiki/Pine_Fire,"In 2016, a total of 7,349 fires had burned an area 669,534 acres (2,709.51 km2) in California","The fires affected various areas in California, including San Diego County",NULL,"6 civilians killed, 2 firefighters killed",NULL,Unknown,Cost: >$480.3 million (2016 USD),The brush fire did not cause any injuries or structural damage
14,Cyclone Luban,https://en.wikipedia.org/wiki/Cyclone_Luban,"Cyclone Luban occurred from October 6, 2018, to October 15, 2018.","Cyclone Luban affected Oman, Somalia, and Yemen.","About 8,000 people were left homeless because of Luban.",Cyclone Luban killed 14 people in Yemen.,"About 8,000 people were left homeless because of Luban.",124 people were injured in Yemen due to Cyclone Luban.,The damage in Yemen was estimated at US$1 billion.,The storm damaged or destroyed 62 houses in Al-Masilah.
15,Palmer Fire,https://en.wikipedia.org/wiki/Palmer_Fire,"The Palmer Fire occurred from September 2, 2017, to September 6, 2017.","The Palmer Fire affected Beaumont, California, in the United States. Redlands Boulevard, south of San Timoteo Canyon Road, was closed and evacuation centers were opened in Redlands and Yucaipa.",Approximately 450 people were evacuated from their homes due to the Palmer Fire.,NULL,NULL,NULL,NULL,NULL
16,Tropical Storm Erika,https://en.wikipedia.org/wiki/Tropical_Storm_Erika,"Tropical Storm Erika occurred from August 24, 2015 to September 3, 2015.","The areas affected by Tropical Storm Erika include Antilles (particularly Dominica), The Bahamas, and Florida.","More than 17,000 people in Dominica were severely impacted by the storm.",A total of 35 deaths were confirmed to be caused by Tropical Storm Erika.,574 people were left homeless in Dominica due to the storm.,20 people were injured in Dominica due to the storm.,The total economic loss or damage due to Tropical Storm Erika was estimated to be over $500 million (2015 USD).,More than 890 homes were destroyed or rendered uninhabitable in Dominica.
17,2008 South China floods,https://en.wikipedia.org/wiki/2008_South_China_floods,The 2008 South China floods began on 26 May 2008 and lasted until 14 June 2008.,"The floods affected provinces including Sichuan, Guangdong, Jiangxi, Guangxi, Guizhou, Yunnan, and Hong Kong.",Up to 2.22 million people were affected in 17 cities in Guangdong.,More than 200 people were reported dead or missing due to the floods.,1.3 million people were forced to evacuate as of 14 June.,The text does not provide specific information about the number of people who were injured.,The economic damage was estimated at $2.2 billion.,Close to 1 million hectares of farmland and many buildings were affected by the floods.
18,2003 Canberra bushfires,https://en.wikipedia.org/wiki/2003_Canberra_bushfires,The 2003 Canberra bushfires occurred during 18–22 January 2003.,"The suburbs and outer areas of Canberra, the capital city of Australia, were severely affected by the 2003 Canberra bushfires.","Over 490 people were injured, and 470 homes were destroyed or severely damaged, requiring a significant relief and reconstruction effort.",Four people died as a result of the 2003 Canberra bushfires.,"Over 470 homes were destroyed or severely damaged, resulting in many people becoming homeless or displaced.",Over 490 people were injured as a result of the 2003 Canberra bushfires.,The economic cost of the 2003 Canberra bushfires was $350 million.,488 buildings were destroyed by the 2003 Canberra bushfires.
19,2005 Pacific typhoon season,https://en.wikipedia.org/wiki/Typhoon_Mawar_(2005),"The 2005 Pacific typhoon season ran throughout the year, with the first system forming on January 13, 2005, and the last system dissipating on December 21, 2005.","The areas affected by the 2005 Pacific typhoon season included Taiwan, China, Japan, the Marianas Islands, the Philippines, Vietnam, and Alaska and Canada.","The total fatalities from the 2005 Pacific typhoon season were 630, with 15 deaths in Taiwan, 36 deaths in China, 167 fatalities in China, and 21 deaths in Japan. More than 800,000 people were evacuated from their homes as the storm neared.",The total deaths confirmed caused by the 2005 Pacific typhoon season were 630.,"More than 800,000 people were evacuated from their homes as the storm neared.","There were 143 injured in Japan, and one person was killed and seven were injured in relation to Mawar.",The total damage from the 2005 Pacific typhoon season was $9.73 billion (2005 USD).,"Damages totaled to $1.22 billion (2005 USD), and 10,000 homes in Japan were damaged, with 88 roads damaged and 168 landslides reported."
20,Typhoon Olive (1971),https://en.wikipedia.org/wiki/Typhoon_Olive_(1971),"Typhoon Olive (1971) occurred from July 29, 1971 to August 10, 1971.","The areas affected by Typhoon Olive (1971) include Caroline Islands, Northern Mariana Islands, Ryukyu Islands, Korea, Japan, South Sakhalin, and Kuril Islands.",The total number of people affected by Typhoon Olive (1971) is not explicitly mentioned in the provided text.,A total of 90 deaths were confirmed caused by Typhoon Olive (1971).,The number of people who became homeless or displaced due to Typhoon Olive (1971) is not explicitly mentioned in the provided text.,The total number of people injured related to Typhoon Olive (1971) is not explicitly mentioned in the provided text.,The economic loss or damage in USD (or other currencies) due to Typhoon Olive (1971) is not explicitly mentioned in the provided text.,The number of buildings damaged or destroyed by Typhoon Olive (1971) is not explicitly mentioned in the provided text.
21,Tropical Storm Jerry (2001),https://en.wikipedia.org/wiki/Tropical_Storm_Jerry_(2001),"Tropical Storm Jerry (2001) occurred from October 6, 2001 to October 8, 2001.","Tropical Storm Jerry (2001) affected Barbados, Windward Islands, and the eastern Caribbean Sea.",NULL,None reported,NULL,NULL,NULL,"Minimal damage was reported in the Lesser Antilles, with some downpours and high winds reported."
22,Tropical Storm Delfina,https://en.wikipedia.org/wiki/Tropical_Storm_Delfina,"Tropical Storm Delfina occurred from December 30, 2002 to January 1, 2003.",Tropical Storm Delfina affected Mozambique and Malawi.,"Over 133,000 people were directly affected by Tropical Storm Delfina.",A total of 54 deaths were confirmed to be caused by Tropical Storm Delfina.,"About 30,000 people were forced to leave their homes due to Tropical Storm Delfina.",NULL,The economic loss or damage was $3.5 million (2002 USD) due to Tropical Storm Delfina.,"Over 18,000 houses were severely damaged or destroyed by Tropical Storm Delfina."
23,Tropical Depression Eight (1981),https://en.wikipedia.org/wiki/Tropical_Depression_Eight_(1981),"Tropical Depression Eight occurred from August 26, 1981, to August 29, 1981.","The areas affected by Tropical Depression Eight include Mexico and the Southern United States, particularly southeastern Texas.","The text mentions that at least 15 streets in downtown Hallettsville were flooded, damaging hundreds of cars, 150 to 200 homes, 75 businesses, and a few local government buildings. It also states that more than 286 homes were damaged or destroyed in Lavaca County.","Five people were killed by floodwaters in Shiner, and three teenage boys drowned after a home was washed away and demolished.","The text mentions that approximately 300 people evacuated in Kenedy, and about 70 homes, 12 mobile homes, and a number of businesses and cars were damaged. It also states that more than 2,000 head of cattle drowned, while crops such as hay and pecans experienced extensive losses.","The text mentions three people were injured near Hochheim after their car was swept off the road, and three injuries occurred after a woman and her two children were submerged by water while in a pickup truck.",The economic loss or damage due to Tropical Depression Eight was more than $56.2 million (1981 USD).,"The text mentions that at least 286 homes were damaged or destroyed in Lavaca County, and it also states that throughout Texas, damage exceeded $56.2 million, with several dozen businesses, 1,250 homes, and 1,000 vehicles being damaged."
24,2020 East Africa floods,https://en.wikipedia.org/wiki/2020_East_Africa_floods,The 2020 East Africa floods occurred from March to May.,"The areas affected by the 2020 East Africa floods include Rwanda, Kenya, Somalia, Burundi, Ethiopia, Uganda, Democratic Republic of the Congo, Djibouti, and Tanzania.","At least 700,000 people were affected by the 2020 East Africa floods.",A total of 453 deaths were confirmed caused by the 2020 East Africa floods.,"Over 100,000 people were displaced in Kenya, 216,895 in Somalia, and around 5,000 in Ethiopia.",A total of 200 people were injured in South Kivu Province.,The economic loss or damage in USD (or other currencies) due to the 2020 East Africa floods is not explicitly mentioned in the provided text.,"91 houses were destroyed in Rwanda, 5 bridges were destroyed in Kenya, and 6 houses were completely destroyed in Djibouti."
25,2022 Corrientes wildfires,https://en.wikipedia.org/wiki/2022_Corrientes_wildfires,It began in January of that year and continued to be active in many parts of the province.,"The fire advanced over fields, mountains, wetlands and nature reserves, including the Iberá Wetlands.",NULL,NULL,NULL,NULL,"The material losses are estimated at a sum of at least 25,000 million pesos, although the calculations of the Ministry of Production of the Government of Corrientes foresee that the amount is around 40,000 million.",NULL
26,North American blizzard of 1966,https://en.wikipedia.org/wiki/North_American_blizzard_of_1966,"The North American blizzard of 1966 occurred from January 29 to February 1, 1966, with heavy lake effect snows preceding the cyclonic storm southeast of Lake Ontario.","The northeastern United States and Eastern Canada were affected by the North American blizzard of 1966, with heavy snow impacting areas around Lake Ontario and the snow belt regions of New York.","At least 142 people were killed, with others becoming homeless or displaced due to the blizzard.","The death toll reached 201, with fatalities including those who froze to death, died in fires, suffered heart attacks while shoveling snow, and were involved in traffic accidents caused by slick roads.",The text does not provide specific information about the number of people who became homeless or displaced.,The text does not provide specific information about the number of people who were injured.,The text does not provide specific information about the economic loss or damage in USD or other currencies.,The text does not provide specific information about the number of buildings damaged or destroyed.
27,2021 European floods,https://en.wikipedia.org/wiki/2021_European_floods,The 2021 European floods occurred from 12-25 July 2021.,"The areas affected by the 2021 European floods included Austria, Belgium, Czech Republic, Croatia, France, Germany, Italy, Luxembourg, Netherlands, Romania, Switzerland, and the United Kingdom.","At least 243 people died in the floods, and 200,000 properties were left without power.","At least 243 people died in the floods, including 196 in Germany, 43 in Belgium, two in Romania, one in Italy, and one in Austria.","More than 10,000 residents of Verviers had to be moved because of homes becoming uninhabitable.",NULL,"The floods are estimated to have cost up to €2.55 billion (US$3 billion) in insured losses, with the total damage costs being much higher, at a minimum of €10 billion (US$11.8 billion).","Several buildings collapsed, and around 700 homes in Valkenburg were rendered uninhabitable."
28,Typhoon Xangsane (2000),https://en.wikipedia.org/wiki/Typhoon_Xangsane_(2000),"Typhoon Xangsane (2000) occurred from October 24, 2000 to November 2, 2000.","The areas affected by Typhoon Xangsane (2000) include the Caroline Islands, Philippines, Taiwan, and Japan.","Typhoon Xangsane (2000) was responsible for 187 casualties, including 83 possible indirect from the crash of Singapore Airlines Flight 006.",The storm killed a total of 187 people.,"In the Philippines, the storm killed 40 people, lost 100,000 homes, and caused damage of $27.45 million. In Taiwan, the storm killed 64 and injured 65 people, and 25 were declared missing.",The storm caused injuries to an unspecified number of people.,The economic damage caused by Typhoon Xangsane (2000) was $527 million (2000 USD).,The storm caused damage to an unspecified number of buildings.
29,2019 Pune flood,https://en.wikipedia.org/wiki/2019_Pune_flood,"Between 25–28 September 2019, Pune, India, and its division received a heavy amount of rainfall which caused flash flooding.","The flood caused 21 deaths, 5 missing and evacuation of more than 28,000 people living in the city.","More than 28,000 people living in the city were evacuated.",The flood caused 21 deaths.,"More than 28,000 people living in the city were evacuated.",NULL,NULL,Other rain-related incidents such as collapsed compound walls of buildings have killed at least 21 people.
30,Boulder Fire (2019),https://en.wikipedia.org/wiki/Boulder_Fire,"The Boulder Fire occurred on June 5, 2019.","The Boulder Fire burned in California Valley in San Luis Obispo County, California.",NULL,NULL,NULL,NULL,NULL,NULL
31,Tropical Storm Matthew (2010),https://en.wikipedia.org/wiki/Tropical_Storm_Matthew_(2010),"Tropical Storm Matthew (2010) occurred from September 23, 2010 to September 28, 2010.","Tropical Storm Matthew (2010) affected Venezuela, Central America, Mexico, and Jamaica.","At least 100 people were confirmed dead throughout Central America and southern Mexico. More than 1,000 families, some 6,200 people fled dangerous situations because of the rains in Nicaragua alone, seeking refuge in 72 active shelters.","At least 100 people were confirmed dead throughout Central America and southern Mexico. Throughout the country, 66 people were reported dead as a result of heavy rainfalls associated with Matthew.","More than 1,000 families, some 6,200 people fled dangerous situations because of the rains in Nicaragua alone, seeking refuge in 72 active shelters.",NULL,"The economic loss or damage in USD (or other currencies) due to Tropical Storm Matthew (2010) in total was $171 million (2010 USD) in Central and South America, roughly 207 million cordoba ($10.2 million, 2010 USD) in Nicaragua, at least 2 billion MXN (US$161 million) in Oaxaca, and roughly 100 billion MXN (US$8 billion) in Veracruz, Mexico.","Part of a hill collapsed on a length of 656 ft (200 m), destroying more than 300 houses."
32,Typhoon Dot (1985),https://en.wikipedia.org/wiki/Typhoon_Dot_(1985),"Typhoon Dot occurred from October 13, 1985 to October 22, 1985.","The areas affected by Typhoon Dot (1985) include the Philippines, Hainan, and Vietnam.",Over 1 million people were directly affected by Typhoon Dot (1985).,A total of 90 deaths were confirmed caused by Typhoon Dot (1985).,"A total of 125,000 people were forced to flee their homes, 35,000 of which were homeless.",A total of 24 people were hurt due to Typhoon Dot (1985).,The economic loss or damage in USD due to Typhoon Dot (1985) was $104.9 million (1985 USD).,"A total of 52,933 homes were destroyed while an additional 200,450 were damaged."
33,Typhoon Phanfone (2014),https://en.wikipedia.org/wiki/Typhoon_Phanfone_(2014),"Typhoon Phanfone (2014) occurred from September 28, 2014, to October 12, 2014.","The areas affected by Typhoon Phanfone (2014) include the Mariana Islands, Japan, and Alaska.",A total of 11 people were killed by Typhoon Phanfone (2014) in Japan.,A total of 11 people were confirmed dead due to Typhoon Phanfone (2014).,"It was reported that 10 people were injured and nearly 10,000 houses were without power due to Typhoon Phanfone (2014).",A total of 10 people were injured due to Typhoon Phanfone (2014) in Japan.,The economic damage in Japan was calculated at Y=10.5 billion (US$100 million) by Aon Benfield.,"Throughout Shizuoka Prefecture, 8 buildings were destroyed and a further 1,439 buildings were damaged by flooding caused by Typhoon Phanfone (2014)."
34,Tropical Storm Helene (2000),https://en.wikipedia.org/wiki/Tropical_Storm_Helene_(2000),"Tropical Storm Helene (2000) occurred from September 15, 2000 to September 25, 2000.","The areas affected by Tropical Storm Helene (2000) include Lesser Antilles, Puerto Rico, Hispaniola, Jamaica, Cuba, Isle of Youth, Eastern United States, and Atlantic Canada.","Several families had to evacuate in Ponce, and about 100 homes were flooded in Leon County. Additionally, 70 people had to evacuate their homes due to flooding.",There were 1 direct and 1 indirect fatalities confirmed caused by Tropical Storm Helene (2000) in total.,"Several families had to evacuate in Ponce, and about 100 homes were flooded in Leon County. Additionally, 70 people had to evacuate their homes due to flooding.",One person was killed and six others were injured by a tornado in South Carolina related to Tropical Storm Helene (2000).,The economic loss or damage in USD due to Tropical Storm Helene (2000) was estimated at $16 million.,"One house was destroyed and more than 100 houses were affected in Ponce, and about 100 homes were flooded in Leon County. Additionally, the storm destroyed two homes and six mobile homes in Leon County, and damaged more than 120 homes in Wakulla County."
35,Cyclone Hollanda,https://en.wikipedia.org/wiki/Cyclone_Hollanda,Cyclone Hollanda occurred from 6 February 1994 to 15 February 1994.,Mauritius and Reunion were the areas affected by Cyclone Hollanda.,"At least 1,500 people were left homeless due to Cyclone Hollanda.",Cyclone Hollanda caused 2 confirmed deaths in total.,"At least 1,500 people were left homeless due to Cyclone Hollanda.",NULL,The economic loss or damage due to Cyclone Hollanda was $135 million (1994 USD).,"Cyclone Hollanda destroyed 290 houses and severely damaged another 160, leaving at least 1,500 people homeless."
36,Hurricane Erick (2013),https://en.wikipedia.org/wiki/Hurricane_Erick_(2013),"Hurricane Erick (2013) occurred from July 4, 2013 to July 9, 2013.","The areas affected by Hurricane Erick (2013) include Southwestern Mexico, Western Mexico, and Baja California Peninsula.","Hundreds of people were rescued by the Mexican military and Nayarit officials, and dozens of families were directly affected by the storm.",Two deaths were confirmed caused by Hurricane Erick (2013) in total.,NULL,NULL,"Residents reported severe economical losses, especially in Xalisco, where a disaster declaration was necessary.","Numerous cars, streets, and homes were damaged by flooding, and dozens of vehicles were damaged and several other streets and homes were flooded."
37,"Typhoon Phanfone strikes Philippines - Wikinews, the free news source",https://en.wikinews.org/wiki/Typhoon_Phanfone_strikes_Philippines,Typhoon Phanfone made landfall on the central Philippines from Tuesday night through to Wednesday,"Phanfone impacted upon popular tourist attractions, such as Boracay and Coron, as well as the Kalibo International Airport. It also blocked roads and forced over 58,000 civilians to evacuate.","at least 15,000 stranded at ports",killing at least 20 according to Philippine officials,A lot of people have lost their homes,NULL,NULL,NULL
38,2014 Southeast Europe floods,https://en.wikipedia.org/wiki/2014_Southeast_Europe_floods,"Between 13 and 18 May 2014 a low-pressure cyclone designated Tamara and Yvette affected a large area of Southeastern and Central Europe, causing floods and landslides.","Serbia, Bosnia and Herzegovina, Croatia, Romania, Italy, Austria, Bulgaria, Hungary, Poland, Slovakia","Over 1.6 million people were affected in Serbia and Bosnia, after a week of flooding.",At least 86 deaths were confirmed caused by 2014 Southeast Europe floods in total.,Hundreds of thousands had been forced from their homes.,NULL,"Assessments of the damage range up to €3.5 billion for Serbia, Bosnia and Herzegovina. The total amount of damage in Serbia was estimated at 1.53 billion Euro.","2,260 public, industrial and infrastructure facilities were flooded, and 3,500 roads were destroyed. Around 500 houses were seriously damaged and at least 20 houses are completely uninhabitable."
39,Typhoon Kujira (2009),https://en.wikipedia.org/wiki/Typhoon_Kujira_(2009),"Typhoon Kujira (2009) occurred from May 1, 2009 to May 13, 2009.",The areas affected by Typhoon Kujira (2009) were the Philippines and the Russian Far East.,"A total of 383,457 people in 609 barangays of 60 municipalities and 4 cities in 5 provinces of Region V were affected by the storm.",A total of 28 deaths were confirmed caused by Typhoon Kujira (2009).,"Over 3757 houses were damaged with 297 fully damaged, resulting in people becoming homeless or displaced.",A total of 5 people were injured related to Typhoon Kujira (2009).,The economic loss or damage due to Typhoon Kujira (2009) was estimated to be at least $27 million (2009 USD).,"A total of 2,387 houses were destroyed, of which 138 were total and 2,249 partial."
40,2007 Pacific typhoon season,https://en.wikipedia.org/wiki/Tropical_Storm_Haiyan_(2007),"The 2007 Pacific typhoon season ran throughout 2007, with most tropical cyclones typically developing between May and November.","The areas affected by the 2007 Pacific typhoon season include Guangxi Province, Vietnam, Okinawa, Kyushu, Kochi Prefecture, Wakayama Prefecture, Hainan, Thailand, Luzon, Tama area, Wake Island, southern China, and Vietnam.","An estimated 1.11 million people were affected by Toraji in Guangxi Province, and over 100,000 people were evacuated in southern China as Lekima approached.",A total of 463 fatalities were reported due to the 2007 Pacific typhoon season.,"At least 100,000 houses were destroyed in Vietnam, and many homeless people living along the Tama River were swept away in Japan.","The 2007 Pacific typhoon season resulted in at least 80 injuries in Japan, 37 injuries in Okinawa, and a total of 18 injuries in Kyushu caused by Usagi.",The total damage from the 2007 Pacific typhoon season was estimated at $7.73 billion (2007 USD).,"At least 27 homes were damaged and 13 others were destroyed by Toraji in Vietnam, and 10 homes were destroyed and another 32 were damaged by Wutip."
41,2022 Pacific typhoon season,https://en.wikipedia.org/wiki/Typhoon_Nesat_(2022),"The 2022 Pacific typhoon season occurred from January 27, 2022, to December 12, 2022.","The areas affected by the 2022 Pacific typhoon season include the Philippines, Japan, South Korea, Vietnam, China, and other regions in the northwestern Pacific Ocean.",The total number of people affected by the 2022 Pacific typhoon season is not explicitly mentioned in the provided text.,The total number of deaths caused by the 2022 Pacific typhoon season is 498.,The total number of people who became homeless or displaced due to the 2022 Pacific typhoon season is not explicitly mentioned in the provided text.,The total number of people injured related to the 2022 Pacific typhoon season is not explicitly mentioned in the provided text.,The total economic damage due to the 2022 Pacific typhoon season is $4.595 billion (2022 USD).,The total number of buildings damaged or destroyed by the 2022 Pacific typhoon season is not explicitly mentioned in the provided text.
42,Tropical Storm Cristobal (2008),https://en.wikipedia.org/wiki/Tropical_Storm_Cristobal_(2008),"Tropical Storm Cristobal (2008) occurred from July 19, 2008 to July 23, 2008.","The areas affected by Tropical Storm Cristobal (2008) were Florida, The Carolinas, and Atlantic Canada.",NULL,None reported,NULL,NULL,"$10,000 (2008 USD)",Minimal damage reported in eastern North Carolina.
